method,offered_demand_gbps,served_throughput_gbps,served_ratio,unmet_demand_gbps,unmet_fraction,connected_flows,avg_hops,matched_satellite_pairs,case,config,selection,offset_minutes,snapshot_utc,evaluation_seconds,candidate_inter_shell_pairs,selected_inter_shell_pairs
DRL,377.41231000000005,23.248741675835753,0.06160037990238249,354.1635683241643,0.9383996200976176,66,31.867924528301888,961,mixed-s0-t180,mixed,0,180,2025-07-16T19:00:00,2.6563879089662805,11047,335
DuJo,377.41231000000005,149.27638186074648,0.3955260014193667,228.13592813925356,0.6044739985806333,382,21.940140845070424,960,mixed-s0-t180,mixed,0,180,2025-07-16T19:00:00,277.05478853092063,11047,336
MRate,377.41231000000005,101.5813945775977,0.26915230872463514,275.8309154224023,0.7308476912753649,261,11.091954022988507,972,mixed-s0-t180,mixed,0,180,2025-07-16T19:00:00,2.361128111020662,11047,369
SaTE,377.41231000000005,101.5813945775977,0.26915230872463514,275.8309154224023,0.7308476912753649,261,11.091954022988507,972,mixed-s0-t180,mixed,0,180,2025-07-16T19:00:00,2.5290254389401525,11047,369
+Grid,350.33231,82.75705859212368,0.23622445383962354,267.5752514078763,0.7637755461603764,219,10.805111821086262,972,mixed-s1-t000,mixed,1,0,2025-07-16T16:00:00,4.086164562031627,10027,46
DRL,350.33231,31.894449936743,0.0910405607086112,318.437860063257,0.9089594392913888,88,26.714285714285715,959,mixed-s1-t000,mixed,1,0,2025-07-16T16:00:00,4.453320153988898,10027,347
DuJo,350.33231,135.12616631165537,0.38570854715528624,215.20614368834464,0.6142914528447138,337,9.588362068965518,963,mixed-s1-t000,mixed,1,0,2025-07-16T16:00:00,215.00425029790495,10027,345
MRate,350.33231,123.69156981423826,0.35306926105170905,226.64074018576173,0.6469307389482909,317,18.8328173374613,968,mixed-s1-t000,mixed,1,0,2025-07-16T16:00:00,4.570290212053806,10027,396
SaTE,350.33231,123.69156981423826,0.35306926105170905,226.64074018576173,0.6469307389482909,317,18.8328173374613,968,mixed-s1-t000,mixed,1,0,2025-07-16T16:00:00,4.445677077048458,10027,396
+Grid,350.29370000000006,87.9376108779349,0.2510396586576775,262.35608912206516,0.7489603413423225,243,36.800338409475465,967,mixed-s1-t030,mixed,1,30,2025-07-16T16:30:00,4.209404274006374,10130,43
DRL,350.29370000000006,37.439563318135754,0.10688049290676865,312.8541366818643,0.8931195070932313,101,15.333333333333334,956,mixed-s1-t030,mixed,1,30,2025-07-16T16:30:00,4.026828143978491,10130,352
DuJo,350.29370000000006,120.00609032542,0.34258706429895824,230.28760967458004,0.6574129357010418,313,12.96328293736501,960,mixed-s1-t030,mixed,1,30,2025-07-16T16:30:00,243.32485435996205,10130,367
MRate,350.29370000000006,114.11182961085264,0.3257604393423365,236.18187038914743,0.6742395606576636,293,20.786786786786788,966,mixed-s1-t030,mixed,1,30,2025-07-16T16:30:00,4.1165474449517205,10130,396
SaTE,350.29370000000006,114.11182961085264,0.3257604393423365,236.18187038914743,0.6742395606576636,293,20.786786786786788,966,mixed-s1-t030,mixed,1,30,2025-07-16T16:30:00,4.241168378968723,10130,396
+Grid,356.21006,83.76063173823297,0.23514392529574538,272.449428261767,0.7648560747042547,229,10.013201320132014,968,mixed-s1-t060,mixed,1,60,2025-07-16T17:00:00,4.023710814071819,10058,35
DRL,356.21006,36.91790179541665,0.1036408174306381,319.29215820458336,0.8963591825693619,101,11.019867549668874,955,mixed-s1-t060,mixed,1,60,2025-07-16T17:00:00,4.506409002002329,10058,355
DuJo,356.21006,132.94147384970444,0.3732108909268437,223.26858615029556,0.6267891090731563,339,13.473469387755102,962,mixed-s1-t060,mixed,1,60,2025-07-16T17:00:00,231.18410438194405,10058,354
MRate,356.21006,118.80727031998516,0.33353148510175473,237.40278968001485,0.6664685148982453,307,15.804651162790698,967,mixed-s1-t060,mixed,1,60,2025-07-16T17:00:00,4.067088166018948,10058,388
SaTE,356.21006,118.80727031998516,0.33353148510175473,237.40278968001485,0.6664685148982453,307,15.804651162790698,967,mixed-s1-t060,mixed,1,60,2025-07-16T17:00:00,4.304023430100642,10058,388
+Grid,353.84321000000006,89.43103105191409,0.2527419730674331,264.41217894808597,0.7472580269325669,238,11.260623229461757,969,mixed-s1-t090,mixed,1,90,2025-07-16T17:30:00,4.716773367021233,10094,53
